kodekec,namakec
01,Ciemas
02,Ciracap
03,Surade
04,Jampang Kulon
05,Kalibunder
06,Tegalbuleud
07,Cidolog
08,Sagaranten
09,Pabuaran
10,Lengkong
11,Pelabuhan Ratu
12,Warung Kiara
13,Jampang Tengah
14,Cikembar
15,Nyalindung
16,Gegerbitung
17,Sukaraja
18,Sukabumi
19,Kadudampit
20,Cisaat
21,Cibadak
22,Nagrak
23,Cicurug
24,Cidahu
25,Parakansalak
26,Parungkuda
27,Kalapa Nunggal
28,Cikidang
29,Cisolok
30,Kabandungan
31,Gunung Guruh
32,Cikakak
33,Bantar Gadung
34,Cicantayan
35,Simpenan
36,Kebon Pedes
37,Cidadap
38,Cibitung
39,Curugkembar
40,Purabaya
41,Cireunghas
42,Sukalarang
43,Caringin
44,Bojong Genteng
45,Waluran
46,Cimanggu
47,Ciambar
